?pharmacyName	?distance
"BOLGHERA SNC"	2.218711192642141E-1
"FARMACIA IGEA SNC DEL DR.EL ZENNAR MOHAMMAD MAHLOUL E C."	7.130323709354592E-1
"FARMACIE COMUNALI SPA"	7.151135166059839E-1
"COMUNALE SAN GIUSEPPE"	7.803868686037693E-1
"CORNER PARAFARMACIA C/O SUPERMERCATI POLI MARAMEO"	8.656573084963021E-1
"VILLAZZANO DI BOLEGO PAOLO"	1.0364912894178842E0
"COMUNALE N.3 PIO X"	1.1644825958454121E0
"S. BARTOLAMEO DOTT. C. BERTOLINI & C. SNC"	1.484964781849899E0
"DARMA IL FARMASTORE"	1.484964781849899E0
"DALL'ARMI SNC PATTINI DR. ALBERTO E DR.SSA ALESSANDRA"	1.61267172846738E0
"SAN LORENZO"	1.8205414760009513E0
"FERRI"	1.8205414760009513E0
"CAMPAGNOLO"	1.8205414760009513E0
"SPEZIALE SRL"	1.853717613082005E0
"ALLA MADONNA DR. GIANMARCO CASAGRANDE & C. SNC"	1.853717613082005E0
"FARMACIA RAVINA SRL"	1.853717613082005E0
"DE GERLONI DR. PIER FRANCESCO"	1.853717613082005E0
"Comunale N.5 S. Dona'"	1.853717613082005E0
"COMUNALE N.8 MADONNA BIANCA"	1.853717613082005E0
"COMUNALE COGNOLA"	1.853717613082005E0
"PARAFARMACIA DR. ROBERTO GIUS"	1.884659308554228E0
"FARMACIA GRANDI SAS DI HIPPO FARMA SRL"	2.2007652355339737E0
"COMUNALE N.9 PIEDICASTELLO"	2.279903968232193E0
"DISPENSARIO DI NOGAREDO"	2.292520077405231E0
"PARAFARMACIA LAGORAI DI VALERIA MANGIAFICO"	2.292520077405231E0
"PARAFARMACIA LA PERLA DI RIGONI LUCA"	2.292520077405231E0
"FARMASI'"	2.292520077405231E0
"COLORVISION OUTLET SRL"	3.3420230239145723E0
"PARAFARMACIA VETERINARIATRIDENTINA"	4.139092776414751E0
"AI SOLTERI-GADOTTI ANDREA &C.SNC"	4.213484186543423E0
