?municipalityURI	?type	?count
<http://localhost:8080/source/ALA>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/ARCO>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/ARCO>	"STRUTTURA NON DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/BORGO%20VALSUGANA>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/CAVALESE>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/CLES>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/MEZZOLOMBARDO>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/PERGINE%20VALSUGANA>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/ROVERETO>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/ROVERETO>	"STRUTTURA NON DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/TIONE%20DI%20TRENTO>	"STRUTTURA DIRETTAMENTE GESTITA"	1
<http://localhost:8080/source/TRENTO>	"STRUTTURA DIRETTAMENTE GESTITA"	3
<http://localhost:8080/source/TRENTO>	"STRUTTURA NON DIRETTAMENTE GESTITA"	2
