COD_STRUTTURA_OD,STRUTTURA,ASSISTENZA,TIPO_RAPPORTO,NUM_UTENTI,NUM_POSTI,NUM_AMMISSIONI,NUM_DIMISSIONI,CareType,NumAssistanceDays,INDIRIZZO,CAP,COMUNE,TELEFONO,E_MAIL,SITO_WEB,LATITUDINE_P,LONGITUDINE_P,COMUNE
STR042101010401S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA -  RSA PREDAZZO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,116,86,32.0,34.0,Residential,31273,VIA E SOTTSASS  11,38037,PREDAZZO,462501235,upipa.predazzo@mail.infotn.it,www.upipa.tn.it,46.313561,11.601377,PREDAZZO
STR042101010601S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA TESERO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,104,70,40.0,40.0,Residential,25550,VIA GIOVANELLI  12,38038,TESERO,462813027,upipa.tesero@mail.infotn.it,www.casadiriposogiovanelli.org,46.28919,11.510085,TESERO
STR042101020301S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CANAL S.BOVO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,86,53,32.0,32.0,Residential,19345,VIA DANOLI  15,38050,CANAL SAN BOVO,439719009,info@apspvalledelvanoi.it,www.apspvalledelvanoi.it,46.155424,11.734069,CANAL SAN BOVO
STR042101020401S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA TRANSACQUA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,111,72,40.0,41.0,Residential,26280,VIALE MARCONI  19,38054,PRIMIERO SAN MARTINO DI CASTROZZA,43962371,segreteria@apsp-primiero.net,www.apsp-primiero.net,46.175432,11.824865,PRIMIERO SAN MARTINO DI CASTROZZA
STR042101032001S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CASTELLO TESINO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,83,56,27.0,28.0,Residential,20440,V OSPEDALE 12,38053,CASTELLO TESINO,461594166,info@apspsuoragnese.it,www.apspsuoragnese.it,46.064522,11.633137,CASTELLO TESINO
STR042101032003S11,COMUNITA' RESIDENZIALE TEMPORANEA MASO TOFFA,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,6,4,1.0,0.0,Residential,1460,LOCALITA  CELA  16,38033,CARANO,462235298,masotoffa@oltre.coop,www.oltre.coop,46.293533,11.417995,CARANO
STR042101032101S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PIEVE TESINO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,75,51,27.0,27.0,Residential,18559,VIA BATTAGLION FELTRE  19,38050,PIEVE TESINO,461594179,upipa.pievetesino@mail.infotn.it,www.piccolospedale.it,46.065043,11.633105,PIEVE TESINO
STR042101032201S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA STRIGNO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,117,82,38.0,38.0,Residential,29930,VIA BORGO ALLOCCO  2,38059,CASTEL IVANO,461762009,segreteria@apspstrigno.it,www.apspstrigno.it,46.06942,11.525145,CASTEL IVANO
STR042101032301S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA RONCEGNO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,64,49,15.0,15.0,Residential,17865,VIA ALLE FONTI 1,38050,RONCEGNO TERME,461764607,upipa.roncegno@mail.infotn.it,www.upipa.tn.it,46.05322,11.406355,RONCEGNO TERME
STR042101032401S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA BORGO VALSUGANA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,87,68,17.0,18.0,Residential,24820,VIA PER TELVE  7,38051,BORGO VALSUGANA,461754123,info@apspborgo.it,www.apspborgo.it,46.058153,11.468989,BORGO VALSUGANA
STR042101032501S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA GRIGNO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,64,49,16.0,15.0,Residential,17847,VIA VITTORIO EMANUELE  131,38055,GRIGNO,461765118,info@apspgrigno.it,www.apspgrigno.it,46.016024,11.633234,GRIGNO
STR042101040104S05,APSS - RSA PSICHIATRICA,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,4,4,0.0,1.0,Residential,1153,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,11.2449,46.0633,PERGINE VALSUGANA
STR042101040104S05,APSS - RSA PSICHIATRICA,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,4,4,0.0,1.0,Residential,1153,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0633,11.2449,PERGINE VALSUGANA
STR042101040104S05,APSS - RSA PSICHIATRICA,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,4,4,0.0,1.0,Residential,1153,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0633,11.2449,PERGINE VALSUGANA
STR042101040104S09,APSS - RSA PSICHIATRICA,ASSISTENZA AGLI ANZIANI,STRUTTURA DIRETTAMENTE GESTITA,34,32,5.0,5.0,Residential,11385,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,11.2449,46.0633,PERGINE VALSUGANA
STR042101040104S09,APSS - RSA PSICHIATRICA,ASSISTENZA AGLI ANZIANI,STRUTTURA DIRETTAMENTE GESTITA,34,32,5.0,5.0,Residential,11385,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0633,11.2449,PERGINE VALSUGANA
STR042101040104S09,APSS - RSA PSICHIATRICA,ASSISTENZA AGLI ANZIANI,STRUTTURA DIRETTAMENTE GESTITA,34,32,5.0,5.0,Residential,11385,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0633,11.2449,PERGINE VALSUGANA
STR042101040104S11,APSS - RSA PSICHIATRICA,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA DIRETTAMENTE GESTITA,2,2,0.0,2.0,Residential,352,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,11.2449,46.0633,PERGINE VALSUGANA
STR042101040104S11,APSS - RSA PSICHIATRICA,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA DIRETTAMENTE GESTITA,2,2,0.0,2.0,Residential,352,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0633,11.2449,PERGINE VALSUGANA
STR042101040104S11,APSS - RSA PSICHIATRICA,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA DIRETTAMENTE GESTITA,2,2,0.0,2.0,Residential,352,VIA S  PIETRO  2,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0633,11.2449,PERGINE VALSUGANA
STR042101040501S05,RESIDENZA PSICHIATRICA PERUSINI,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,14,10,5.0,7.0,Residential,2349,VIA SAN PIETRO  2,38057,PERGINE VALSUGANA,461515313,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0517181,11.2189907,PERGINE VALSUGANA
STR042101040502S05,RESIDENZE PSICHIATRICHE,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,19,18,1.0,3.0,Residential,5449,VIA SAN PIETRO,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,11.2449,46.0633,PERGINE VALSUGANA
STR042101040502S05,RESIDENZE PSICHIATRICHE,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,19,18,1.0,3.0,Residential,5449,VIA SAN PIETRO,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,11.2449,46.0633,PERGINE VALSUGANA
STR042101040502S11,RESIDENZE PSICHIATRICHE,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA DIRETTAMENTE GESTITA,2,3,0.0,0.0,Residential,730,VIA SAN PIETRO,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,11.2449,46.0633,PERGINE VALSUGANA
STR042101040502S11,RESIDENZE PSICHIATRICHE,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA DIRETTAMENTE GESTITA,2,3,0.0,0.0,Residential,730,VIA SAN PIETRO,38057,PERGINE VALSUGANA,461515317,psichiatriapergine@apss.tn.it,www.apss.tn.it,11.2449,46.0633,PERGINE VALSUGANA
STR042101040503S05,RESIDENZA PSICHIATRICA LEVICO - I RODODENDRI,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,15,10,7.0,9.0,Residential,2435,VIA SLUCCA DE MATTEONI  10,38056,LEVICO TERME,461727832,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.009549,11.303954,LEVICO TERME
STR042101040504S05,RESIDENZA PER L'ESECUZIONE DELLE MISURE DI SICUREZZA - REMS PERGINE,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,16,10,7.0,7.0,Residential,3454,VIA SAN PIETRO  2,38057,PERGINE VALSUGANA,461515138,psichiatriapergine@apss.tn.it,www.apss.tn.it,11.2449,46.0633,PERGINE VALSUGANA
STR042101041201S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PERGINE,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,292,201,97.0,97.0,Residential,73365,VIA MARCONI  4,38057,PERGINE VALSUGANA,461706434,amministrazione@apsp-pergine.it,www.apsp-pergine.it,46.063539,11.243005,PERGINE VALSUGANA
STR042101041301S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA LEVICO TERME,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,192,129,67.0,68.0,Residential,46931,VIA C CAVOUR  65,38056,LEVICO TERME,461706225,segreteria@apsplevicoterme.it,www.apsplevicoterme.it,46.009411,11.302842,LEVICO TERME
STR042101041305S10,CENTRO DON ZIGLIO -CENTRO RESIDENZIALE DISABILI - LEVICO TERME,ASSISTENZA AI DISABILI FISICI,STRUTTURA NON DIRETTAMENTE GESTITA,102,95,5.0,4.0,Residential,34675,VIA SILVA DOMINI  37,38056,LEVICO TERME,461706055,info@centrodonziglio.it,www.centrodonziglio.it,46.012926,11.30383,LEVICO TERME
STR042101041401S09,RSA - SPES VILLA ALPINA - BASELGA DI PINE',ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,101,56,48.0,47.0,Residential,20401,VIA IV NOVEMBRE  29 MONTAGNAGA,38042,BASELGA DI PINÈ,461559500,villaalpina@gruppospes.it,www.gruppospes.it,46.103828,11.237955,BASELGA DI PINÈ
STR042101041501S11,COMUNITA' RESIDENZIALE TEMPORANEA PICCOLO PRINCIPE,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,7,6,1.0,2.0,Residential,1995,VIA MARCONI  7   PIEVE,38054,PRIMIERO SAN MARTINO DI CASTROZZA,43964672,principeprimiero@gmail.com, ,46.173383,11.825447,PRIMIERO SAN MARTINO DI CASTROZZA
STR042101041601S09,CASA SANTA MARIA - COOP. KALEIDOSCOPIO SCS,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,113,10,149.0,149.0,Residential,3638,VIA AL CASTELLO  39,38049,ALTOPIANO DELLA VIGOLANA,461848568,info@casasantamaria.trentino.it,www.casasantamaria.trentino.it,46.005528,11.20397,ALTOPIANO DELLA VIGOLANA
STR042101050400S12,HOSPICE TRENTO VILLA IGEA,ASSISTENZA AI MALATI TERMINALI,STRUTTURA DIRETTAMENTE GESTITA,126,7,117.0,122.0,Residential,2482,VIA MALTA  16,38122,TRENTO,461611137,CurePalliativeHospice@apss.tn.it,www.apss.tn.it,46.0617,11.1279,TRENTO
STR042101050407S12,FONDAZIONE HOSPICE TRENTINO ONLUS,ASSISTENZA AI MALATI TERMINALI,STRUTTURA NON DIRETTAMENTE GESTITA,179,12,193.0,180.0,Residential,3216,VIA C  MENGUZZATO  48,38123,TRENTO,461239131,info@fondazionehospicetn.it, ,11.137198,46.038432,TRENTO
STR042101050502S09,RSAO S. CAMILLO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,105,25,82.0,81.0,Residential,8771,VIA GIOVANELLI  19,38122,TRENTO,461216111,direzione@sancamillo.com,www.sancamillo.com,46.065474,11.131722,TRENTO
STR042101050804S05,APP.TO DEL FARE INSIEME 'VIALE TRIESTE',ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,6,4,2.0,4.0,Residential,1356,VIALE TRIESTE  29,38122,TRENTO,461987110, , ,46.065273,11.136137,TRENTO
STR042101050805S05,APP.TO DEL FARE INSIEME 'P.ZZA MOSTRA NORD',ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,5,4,2.0,1.0,Residential,1334,PIAZZA MOSTRA  7,38122,TRENTO,461232874, , ,46.070842,11.125939,TRENTO
STR042101050806S05,APP.TO DEL FARE INSIEME 'P.ZZA MOSTRA SUD',ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,4,3,3.0,3.0,Residential,973,PIAZZA MOSTRA  7,38122,TRENTO,461231535, , ,46.070842,11.125939,TRENTO
STR042101050807S05,COMUNITA' 'CASA DEL SOLE',ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,20,14,10.0,10.0,Residential,4278,VIA MENGUZZATO  50,38123,TRENTO,461390472, , ,46.039027,11.135236,TRENTO
STR042101050808S05,CASA DELL'AUTO AIUTO,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,18,9,16.0,13.0,Residential,2037,VIA DELLA COLLINA  10,38121,TRENTO,461234972, , ,46.069696,11.130921,TRENTO
STR042101052000S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - CIVICA TRENTO - S.BARTOLOMEO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,194,124,74.0,76.0,Residential,44857,VIA DELLA MALPENSADA  156,38122,TRENTO,461385000,segreteria@civicatnapsp.it,www.civicatnapsp.it,46.0456343,11.1325757,TRENTO
STR042101052001S09,"AZIENDA PUBBLICA SERVIZI ALLA PERSONA - ""BEATO DE TSCHIDERER"" -",ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,259,182,134.0,80.0,Residential,58659,VIA PIAVE  108,38122,TRENTO,461273414,iaps.tn@iaps.tn,www.iaps.it,46.063465,11.126997,TRENTO
STR042101052002S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CAVEDINE,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,95,59,39.0,39.0,Residential,21452,VIA OSPEDALE  24,38073,CAVEDINE,461568510,segreteria@residenzavalledeilaghi.it,www.residenzavalledeilaghi.it,45.9947176,10.972357,CAVEDINE
STR042101052003S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA POVO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,274,185,94.0,92.0,Residential,67257,VIA DELLA RESISTENZA  63   POVO,38123,TRENTO,461810688,info@rsagrazioli.it,www.apspgrazioli.it,46.068501,11.160766,TRENTO
STR042101052004S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA MEZZOCORONA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,98,76,22.0,22.0,Residential,27674,VIA B CRISTANI  38,38016,MEZZOCORONA,461605303,rsa@casacristiani.it,www.upipa.tn.it,46.231153,11.119423,MEZZOCORONA
STR042101052005S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA MEZZOLOMBARDO,ASSISTENZA AGLI ANZIANI,STRUTTURA DIRETTAMENTE GESTITA,105,77,28.0,29.0,Residential,28036,VIA DAMIANO CHIESA  6,38017,MEZZOLOMBARDO,461613711,upipa.mezzolombardo@mail.infotn.it,www.sangiovanni.tn.it,46.212968,11.09631,MEZZOLOMBARDO
STR042101052007S09,RSA - SPES VIA VENETO - TRENTO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,98,72,26.0,26.0,Residential,26183,VIA VENETO  63,38122,TRENTO,461369111,residenzaviaveneto@gruppospes.it,www.gruppospes.it,46.059552,11.125229,TRENTO
