STRUCTURE_CODE,NAME,ADDRESS,CAP,LATITUDE,LONGITUDE,PHONE,WEBSITE,EMAIL,SERVICE_NAME,DISPENSARY_TYPE,IVA
FAR042101004054,SILVESTRI LUCIANA,"VIA J. A. MAFFEI, 8",38028,46.4123540693265,11.0520541954953,,,,,Pharmacy,673580221
FAR042101004162,FARMACIA GMG S.A.S. DEI DOTTORI RAVAGNANI CHIARA E AGAZZANI MATTEO,"VIA DELLA ROGGIA, 9",38061,45.7590051426327,11.0026564100186,,,,,Pharmacy,2400290223
FAR042101004163,FRANZELLIN VITTORIO E C. SNC,"VIA SEGANTINI, 1",38061,45.7479086521251,11.0414606774668,,,,,Pharmacy,2209460225
FAR042101004164,BETTINAZZI - R. & T. PHARMA SNC,"VIA GALAS, 49",38062,45.9304227931688,10.9070021739945,,,,,Pharmacy,2018300224
FAR042101004165,FAMIGLIA COOPERATIVA VALLAGARINA,"PIAZZA ROMA, 6",38063,45.7321595956525,10.9198632803229,,,,,Pharmacy,106510225
FAR042101004166,BAILO MICHELE,"PIAZZA DANTE ALIGHIERI, 1",38051,46.0153100445136,11.4345899281404,,,,,Pharmacy,2271060226
FAR042101004167,RIGONI S.R.L.,"VIA VALENTINI, 19",38060,45.9345629,11.0942589,,,,,Pharmacy,3060830217
FAR042101004168,FRANZELLIN GIANCARLO,"VIA FRATELLI BRONZETTI, 28",38033,46.2908054279005,11.4621468378048,,,,,Pharmacy,227460227
FAR042101004169,ALL'ANGELO SNC,"VIA GUGLIELMO MARCONI, 8",38010,46.2719475733844,11.052403821412,,,,,Pharmacy,1867580225
FAR042101004170,GIRARDI DI DOTT. C. TADDEI & C. SNC,"VIA E. COLPI, 181",38064,45.9090169713352,11.1996587694094,,,,,Pharmacy,1981650227
FAR042101004171,ROMANI DI ERRIGO A. E C. SNC,"VIA SEGANTINI, 1",38015,46.1512831931641,11.1042541241409,,,,,Pharmacy,2046850224
FAR042101004172,FARMACIA ROMANESE S.A.S. DEL DOTT. GIANCARLO TOGNOLI & C.,"VIA REGIA, 16",38056,46.0113979272623,11.3005470633363,,,,,Pharmacy,2459690224
FAR042101004173,FARMACIA RIGONI DEL DOTT. RIGONI LUCA S.A.S.,"STRADA CERILO DELLANTONIO BORA, 2",38035,46.3645137061942,11.7061404227998,,,,,Pharmacy,2141050225
FAR042101004174,CRESCINI - DR.SSA TOGNANA,"PIAZZA SERRA, 8",38057,46.0616404,11.2398474,,,,,Pharmacy,51370229
FAR042101004175,SCAGLIA S.A.S. DI SCAGLIA ANNA & C.,"PIAZZA S. GIACOMO, 1",38086,46.2220374200605,10.7963137713744,,,,,Pharmacy,983840224
FAR042101004177,Farmacia Vinotti Snc,"VIA ROMA, 38",38012,46.3169743035502,11.069269766697,,,,,Pharmacy,2491630220
FAR042101004178,DALL'ARMI SNC PATTINI DR. ALBERTO E DR.SSA ALESSANDRA,"PIAZZA DUOMO, 10",38122,46.0676193498462,11.1215188143335,,,,,Pharmacy,337140222
FAR042101004179,GALLO SNC,"VIA MANTOVA, 51",38122,45.9155143299823,10.8849798811351,,,,,Pharmacy,1855780225
FAR042101004180,SPEZIALE SRL,"PIAZZA PASI, 20",38122,46.0622059167663,11.1117645926563,,,,,Pharmacy,2526490228
FAR042101004181,GIUPPONI,"VIA CATONI, 69",38123,45.9933102,10.9749001,,,,,Pharmacy,1951620226
FAR042101004182,BALDRACHI LUKAS,"VIA E. LEONARDI, 29",38019,46.2651735914533,10.9487329392243,,,,,Pharmacy,1384990220
FAR042101004183,MAGAFARMA S.R.L.,"VIA ALCIDE DE GASPERI, 1",38075,45.9861874205662,10.8216630422551,,,,,Pharmacy,2345010223
FAR042101004184,FARMACIA BRANCALEONI SNC,"VIA TRENTO, 11/B",38097,46.1596468747837,11.0589755169334,,,,,Pharmacy,2626370221
FAR042101004185,Teso Francesco,"VIA PARADISO, 2",38050,46.1396954319267,11.4642967434695,,,,,Pharmacy,1947280226
FAR042101004186,BOLGHERA SNC,"LARGO MEDAGLIE D'ORO, 8",38122,46.0577971934673,11.1327523327511,,,,,Pharmacy,166280222
FAR042101004187,NARDELLI DR. GABRIELE,"STRADA GARDESANA OCC., 9/B",38074,45.9913596636596,10.9247729886099,,,,,Pharmacy,1889730220
FAR042101004188,VINANTE DR. GIORGIO & C. SNC,"STRADA DE MEIDA, 47",38036,46.4285808397104,11.7261761244066,,,,,Pharmacy,2046780223
FAR042101004189,Farmacia Trintinaglia,"VIA VITTORIO EMANUELE, 91",38055,46.016929,11.635857,,,,,Pharmacy,921280244
FAR042101004190,COMUNALE 1,"VIA PAOLI, 19",38068,45.8937085302942,11.0402015076214,,,,,Pharmacy,1648950226
FAR042101004191,VILLAZZANO DI BOLEGO PAOLO,"VIA TAMBOSI, 2",38123,46.0497829,11.1439821,,,,,Pharmacy,1856020225
FAR042101004192,CREMONESI,"VIA ROMA, 17A",38041,46.1449671070267,11.2000600793698,,,,,Pharmacy,828140228
