STRUCTURE_CODE,COD_ASL,NAME,WEBSITE,EMAIL,MUNICIPALITY,ADDRESS,CAP,PHONE,SERVICE_NAME,MANAGEMENT_TYPE,LATITUDE,LONGITUDE
STR042101010102S05,101,CENTRO SALUTE MENTALE CAVALESE,www.apss.tn.it,psichiatriapergine@apss.tn.it,CAVALESE,VIA ROMA  4,38033,462242364,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,46.29017,11.463946
STR042101010103S01,101,CENTRO DIALISI CAVALESE,www.apss.tn.it,Carlo.Rovati@apss.tn.it,CAVALESE,VIA DOSSI  17,38033,462242109,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.2884,11.4551
STR042101010105S04,101,CONSULTORIO CAVALESE,,irene.decrestina@apss.tn.it,CAVALESE,VIA ROMA  4,38033,462242360,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.29017,11.463946
STR042101010501S01,101,POLIAMBULATORIO DI PREDAZZO,www.apss.tn.it,,PREDAZZO,VIA DEGASPERI  12,38037,462508800,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.311858,11.599532
STR042101010501S02,101,POLIAMBULATORIO DI PREDAZZO,www.apss.tn.it,,PREDAZZO,VIA DEGASPERI  12,38037,462508800,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA,46.311858,11.599532
STR042101020101S01,101,POLIAMBULATORIO TONADICO,www.apss.tn.it,,PRIMIERO SAN MARTINO DI CASTROZZA,VIA ROMA  1,38054,439764444,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.177751,11.831519
STR042101020101S02,101,POLIAMBULATORIO TONADICO,www.apss.tn.it,,PRIMIERO SAN MARTINO DI CASTROZZA,VIA ROMA  1,38054,439764444,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA,46.177751,11.831519
STR042101020102S04,101,CONSULTORIO  PRIMIERO,www.apss.tn.it,consultorio.familiare.tonadico@apss.tn.it,PRIMIERO SAN MARTINO DI CASTROZZA,VIA ROMA  1,38054,439764480,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.177751,11.831519
STR042101030102S01,101,CENTRO DIALISI BORGO,www.apss.tn.it,,BORGO VALSUGANA,VIA VICENZA  9,38051,461755264,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.0568,11.4646
STR042101030401S04,101,CONSULTORIO  BORGO,www.apss.tn.it,consultoriofamiliareborgo@apss.tn.it,BORGO VALSUGANA,VIALE VICENZA  9,38051,461755650,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.054643,11.46004
STR042101030402S05,101,CENTRO SALUTE MENTALE BORGO E TONADICO,www.apss.tn.it,psichiatriapergine@apss.tn.it,BORGO VALSUGANA,VIALE VICENZA  9,38051,461755208,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,46.0568,11.4646
STR042101030404S05,101,CENTRO SALUTE MENTALE BORGO E TONADICO - AMB. TONADICO,,psichiatriapergine@apss.tn.it,PRIMIERO SAN MARTINO DI CASTROZZA,VIA ROMA  1,38054,439764453,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,46.177751,11.831519
STR042101040101S01,101,POLIAMBULATORIO DI PERGINE,www.apss.tn.it,marina.lazzeri@apss.tn.it,PERGINE VALSUGANA,VIA S PIETRO  2,38057,461515111,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.0633,11.2449
STR042101040101S02,101,POLIAMBULATORIO DI PERGINE,www.apss.tn.it,marina.lazzeri@apss.tn.it,PERGINE VALSUGANA,VIA S PIETRO  2,38057,461515111,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA,46.0633,11.2449
STR042101040101S03,101,POLIAMBULATORIO DI PERGINE,www.apss.tn.it,marina.lazzeri@apss.tn.it,PERGINE VALSUGANA,VIA S PIETRO  2,38057,461515111,ATTIVITA` DI LABORATORIO,STRUTTURA DIRETTAMENTE GESTITA,46.0633,11.2449
STR042101040102S04,101,CONSULTORIO  PERGINE,www.apss.tn.it,,PERGINE VALSUGANA,VIA S  PIETRO  2,38057,461515367,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.0633,11.2449
STR042101040103S05,101,CENTRO SALUTE MENTALE PERGINE,www.apss.tn.it,psichiatriapergine@apss.tn.it,PERGINE VALSUGANA,VIA S  PIETRO  14,38057,461515466,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,46.0633,11.2449
STR042101040301S01,101,POLIAMBULATORIO DI LEVICO - TN,www.apss.tn.it,,LEVICO TERME,VIA SLUCCA DE MATTEONI  10,38056,461727812,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.009549,11.303954
STR042101040401S08,101,LEVICOFIN S.R.L.,www.termedilevico.it,info@termedilevico.it,LEVICO TERME,VIALE VITTORIO EMANUELE  10,38056,461706077,ASSISTENZA IDROTERMALE,STRUTTURA NON DIRETTAMENTE GESTITA,46.014222,11.297645
STR042101041202S01,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PERGINE - AMB. FKT,,amministrazione@casariposopergine.it,PERGINE VALSUGANA,VIA PIVE  7,38057,461531002,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.063539,11.243005
STR042101050102S01,101,CENTRO DIALISI TRENTO,www.apss.tn.it,,TRENTO,LARGO MEDAGLIE D ORO  9,38122,461903104,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.0564,11.1342
STR042101050103S01,101,POLIAMBULATORI S.CHIARA,www.apss.tn.it,,TRENTO,VIA GOCCIADORO  82,38122,461903643,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.05572,11.131942
STR042101050402S05,101,CENTRO SALUTE MENTALE MEZZOCORONA,www.apss.tn.it,angelo.mercurio@tn.apss.tn.it,MEZZOCORONA,VIA CANE   13,38016,461604396,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,46.215351,11.121026
STR042101050404S04,101,CONSULTORIO MEZZOLOMBARDO,,,MEZZOLOMBARDO,VIA DAMIANO CHIESA  6,38017,461611276,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.214023,11.096143
STR042101050406S01,101,CENTRO SANITARIO TRENTINO,www.centrosanitariotrentino.it,info@centrosanitariotrentino.it,MEZZOLOMBARDO,VIA ALCIDE DEGASPERI  75,38017,461606145,ATTIVITA` CLINICA,STRUTTURA NON DIRETTAMENTE GESTITA,46.210909,11.093893
STR042101050406S02,101,CENTRO SANITARIO TRENTINO,www.centrosanitariotrentino.it,info@centrosanitariotrentino.it,MEZZOLOMBARDO,VIA ALCIDE DEGASPERI  75,38017,461606145,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA NON DIRETTAMENTE GESTITA,46.21082,11.093741
STR042101050801S04,101,CONSULTORIO TRENTO,www.apss.tn.it,consultorio.familiare.trento1@apss.tn.it,TRENTO,VIA MALTA  12,38122,461902190,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,STRUTTURA DIRETTAMENTE GESTITA,46.061995,11.127296
STR042101050802S05,101,CENTRO SALUTE MENTALE TRENTO,www.apss.tn.it,francesca.munerati@apss.tn.it,TRENTO,VIA SAN GIOVANNI BOSCO,38122,461902870,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,46.064674,11.126155
STR042101050903S01,101,NEUROPSICHIATRIA INFANTILE - UONPI 1,www.apss.tn.it,,TRENTO,VIALE VERONA,38123,461902100,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.0451,11.129
STR042101051200S03,101,LABORATORI ADIGE SRL,www.laboratorioadige.it,laboratorio.adige@tin.it,TRENTO,VIA GAZZOLETTI  12,38122,461220077,ATTIVITA` DI LABORATORIO,STRUTTURA NON DIRETTAMENTE GESTITA,46.07233,11.122465
STR042101051300S03,101,LABORATORIO DRUSO SRL,,laboratoriodruso@cemargroup.com,TRENTO,VIA LAVISOTTO  121,38122,461231314,ATTIVITA` DI LABORATORIO,STRUTTURA NON DIRETTAMENTE GESTITA,46.064269,11.121447
STR042101051501S01,101,CENTRO SERVIZI SANITARI,www.apss.tn.it,,TRENTO,VIALE VERONA,38123,461902229,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.0451,11.129
STR042101051501S02,101,CENTRO SERVIZI SANITARI,www.apss.tn.it,,TRENTO,VIALE VERONA,38123,461902229,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA,46.0451,11.129
STR042101051501S03,101,CENTRO SERVIZI SANITARI,www.apss.tn.it,,TRENTO,VIALE VERONA,38123,461902229,ATTIVITA` DI LABORATORIO,STRUTTURA DIRETTAMENTE GESTITA,46.0451,11.129
STR042101051502S01,101,PSICOLOGIA CLINICA,www.apss.tn.it,psicologiatn@mail.apss.tn.it,TRENTO,VIALE VERONA,38123,461902100,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA,46.0451,11.129
