COD_STRUTTURA_OD,STRUTTURA,COMUNE,INDIRIZZO,CAP,LATITUDINE_P,LONGITUDINE_P,TELEFONO,SITO_WEB,E_MAIL,COD_ASL,ASSISTENZA,TIPO_RAPPORTO
OSP042101042001,OSPEDALE DI TRENTO,TRENTO,"LARGO MEDAGLIE D ORO, 9",38122,46.056,11.134,0461903015,www.apss.tn.it,mario.grattarola@apss.tn.it,101,ATTIVITA` CLINICA,STRUTTURA DIRETTAMENTE GESTITA
OSP042101042004,PRESIDIO OSPEDALIERO DI BORGO VALSUGANA,BORGO VALSUGANA,VIALE VICENZA 9,38051,46.0568,11.4646,0461755210,www.apss.tn.it,pierantonio.scappini@apss.tn.it,101,ASSISTENZA PSICHIATRICA | ATTIVITA` CLINICA | ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE | ATTIVITA` DI LABORATORIO | DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA
OSP042101042005,PRESIDIO OSPEDALIERO DI CLES,CLES,"VIALE DEGASPERI, 31",38023,46.3608,11.0323,0463660226,www.apss.tn.it,fernando.ianeselli@apss.tn.it,101,ATTIVITA` CLINICA | ATTIVITA` DI LABORATORIO | DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA
OSP042101042006,OSPEDALE DI ROVERETO,ROVERETO,"CORSO VERONA, 4",38068,45.8818,11.0407,0464403208,www.apss.tn.it,luca.fabbri@apss.tn.it,101,ATTIVITA` CLINICA | ATTIVITA` DI LABORATORIO | DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA
OSP042101042007,PRESIDIO OSPEDALIERO DI TIONE,TIONE DI TRENTO,"VIA OSPEDALE, 11",38079,46.0413,10.7244,0465331256,www.apss.tn.it,egidio.dipede@apss.tn.it,101,ATTIVITA` CLINICA | ATTIVITA` DI LABORATORIO | DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA
OSP042101042010,PRESIDIO OSPEDALIERO DI ARCO,ARCO,"VIA CAPITELLI, 48",38062,45.9192,10.8741,0464582484,www.apss.tn.it,luca.fabbri@apss.tn.it,101,ATTIVITA` CLINICA | ATTIVITA` DI LABORATORIO | DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA DIRETTAMENTE GESTITA
OSP042101042014,PRESIDIO OSPEDALIERO DI CAVALESE,CAVALESE,VIA DOSSI 21,38033,46.2884,11.4551,0462242212,www.apss.tn.it,pierantonio.scappini@apss.tn.it,101,,
OSP042101042015,OSPEDALE SAN CAMILLO,TRENTO,VIA PODESTA GIOVANELLI 19,38122,46.065474,11.131722,0461216111,www.sancamillo.com,direzione.tn@figliesancamillo.it,101,,
OSP042101042018,CASA DI CURA EREMO DI ARCO SRL,ARCO,"VIA XXI APRILE, 1",38062,45.919481,10.870444,0464588400,www.eremoarco.it,info@eremoarco.it,101,ATTIVITA` CLINICA | DIAGNOSTICA STRUMENTALE E PER IMMAGINI,STRUTTURA NON DIRETTAMENTE GESTITA
OSP042101042019,CASA DI CURA REGINA,ARCO,"VIA POMERIO, 3",38062,45.916767,10.886541,0464517525,www.reginaarco.it,info@reginaarco.it,101,,
