"COD_STRUTTURA_OD","COD_STRUTTURA","STRUTTURA","COD_TIPO_ASSISTENZA","ASSISTENZA","COD_TIPO_RAPPORTO","TIPO_RAPPORTO","TIPO_STRUTTURA","ANNO","NUM_UTENTI","NUM_POSTI","NUM_GG_ASSISTENZA","NUM_AMMISSIONI","NUM_DIMISSIONI"
"STR042101010401S09","010401","AZIENDA PUBBLICA SERVIZI ALLA PERSONA -  RSA PREDAZZO","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","116","86","31273","32","34"
"STR042101010601S09","010601","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA TESERO","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","104","70","25550","40","40"
"STR042101020301S09","020301","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CANAL S.BOVO","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","86","53","19345","32","32"
"STR042101020401S09","020401","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA TRANSACQUA","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","111","72","26280","40","41"
"STR042101032001S09","032001","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CASTELLO TESINO","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","83","56","20440","27","28"
"STR042101032003S11","032003","COMUNITA' RESIDENZIALE TEMPORANEA MASO TOFFA","S11","ASSISTENZA AI DISABILI PSICHICI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","6","4","1460","1","0"
"STR042101032101S09","032101","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PIEVE TESINO","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","75","51","18559","27","27"
"STR042101032201S09","032201","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA STRIGNO","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","117","82","29930","38","38"
"STR042101032301S09","032301","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA RONCEGNO","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","64","49","17865","15","15"
"STR042101032401S09","032401","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA BORGO VALSUGANA","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","87","68","24820","17","18"
"STR042101032501S09","032501","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA GRIGNO","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","2017","64","49","17847","16","15"
